,serie,sMAPE_ESRNN,MAE_ESRNN,MAPE_ESRNN,RMSE_ESRNN,sMAPE_LGBM,MAE_LGBM,MAPE_LGBM,RMSE_LGBM,correlation,winner,new_trend_Acomulada
1341,D2246,10.97117959707692,530.2733482142854,11.957398485694412,638.2262195447826,3.6282284359037584,166.72253810691367,3.7170955678269815,218.97463334925808,0.8646274759050132,1,-5
1342,D2247,0.6021724129742906,71.52098214285706,0.6016863008299014,87.10706416697889,1.1633005408656252,137.6829654343428,1.157778439987191,152.20515000852112,-0.2021958417660514,0,-1
1343,D2248,0.8874168179017006,17.78718571428567,0.8817852712078045,22.122427760020376,0.5028442583550585,10.06405409970471,0.5011994651478555,12.509981564090175,0.8229743865392329,1,3
1344,D2249,2.1128169246958888,277.2794642857144,2.089290209978784,286.42718806443656,20.88583889959334,2506.768879883593,18.90995290781723,2507.7520362500177,0.1229990724703244,0,5
1345,D2250,1.140938541251441,164.76830357142873,1.133276207654547,185.59782309923287,32.742943471351126,4076.135247156185,28.134247964208942,4078.110856869285,0.3030081199029252,0,3
1346,D2251,1.503279232015463,25.288317857142847,1.5185566778548047,29.238955733824568,1.4603697509648237,24.167730893382863,1.444277720427203,30.028080797320573,0.4022339263987113,1,1
1347,D2252,0.6425353254911649,14.001892857142852,0.6392959887315774,18.754259663231004,0.7580316293944187,16.51114310166385,0.7570479688797503,19.127515829610942,0.1909592701889213,0,1
1348,D2253,0.7280819063653785,53.48070714285736,0.7305187964664542,61.92991328786963,0.7413436274845332,54.24854861075067,0.739560202902524,67.03730145366276,-0.1436593496725745,0,-1
1349,D2254,1.3963077555826553,21.797678571428555,1.3835358941493276,25.69352121492642,1.0339368607353363,16.16378687551693,1.0311616880349808,18.90426230921918,0.465976159071693,1,3
1350,D2255,3.2112361516866064,24.49404464285714,3.266284046051937,27.92635543369653,1.651859914455282,12.517377172085473,1.6565942430762803,14.742115804195588,0.8097326976689826,1,-1
1351,D2256,0.4539824797758408,56.86875000000028,0.4552889173298824,70.53264236077419,0.6451519005659017,80.69800200322035,0.6452452491610091,96.10106240568835,-0.1152284501904099,0,-1
1352,D2257,5.017230477568505,214.50244464285728,5.242337423790345,280.44129752236097,2.1606368091463946,92.76978489921756,2.176157930149889,108.04899707509033,0.8940809215461435,1,-5
1353,D2258,3.193220803774341,36.38165178571429,3.1378742391068006,38.282512225181954,0.7974700093514034,9.171783074672089,0.7957586850843832,11.729193804510128,0.6304369114181918,1,-1
1354,D2259,3.351035872898872,167.8183035714284,3.287119299262343,181.0789982205008,1.3496324877177737,68.19255785623629,1.346018827308999,75.05989048672453,0.6575308293258716,1,1
1355,D2260,0.617303888698333,106.33035714285766,0.6178642815239899,124.27796991343132,0.7537964883496486,129.7051824702547,0.7545422297442022,145.3414772118791,0.2019661985931977,0,3
1356,D2261,0.6697052731164584,10.372723214285738,0.6686345664175377,12.545937463860511,0.6107352238127581,9.469953749302656,0.610399255184,12.174896108046362,0.3259106485994666,1,1
1357,D2262,1.543218798483183,9.785691964285729,1.543184046886552,11.061949331494707,2.4134334040951253,15.488945516563149,2.456016365023316,18.802113388330618,0.1156257169471627,0,-3
1358,D2263,1.777423550041911,24.124251785714268,1.7968323760555789,27.10306870990595,1.1350519959751786,15.457696359027832,1.1481937318783588,23.069692435226948,0.5222540206209374,1,3
1359,D2264,1.119419373082725,39.089850000000006,1.129364941682317,49.9152727199024,0.7003902841147466,24.407590671633898,0.6978797013592817,31.657218281029262,0.6470250675016863,1,1
1360,D2265,0.7879735739430566,16.860912499999944,0.7880518077026558,18.73236733918173,0.6995349100660616,14.945517246016834,0.6974448626646879,20.640324307985345,0.6971889015712526,1,1
1361,D2266,0.8830782770055063,8.790580357142858,0.8884133460310606,10.899956473460142,0.5732025712260966,5.706671580921433,0.5754158606429214,7.706135625722901,0.533032329398765,1,-1
1362,D2267,0.4207753942028139,54.28035714285722,0.4200140199160133,64.18086851958765,5.675580337849627,712.5261590740919,5.518195971704466,714.4770421381145,0.035104556321935,0,-1
1363,D2268,0.4462596124694855,57.590178571428496,0.4452729702421924,67.22658701076585,5.7340261149323215,720.0542125315,5.573445738728276,721.9866284339481,0.0319870286373957,0,-1
1364,D2269,1.2436016875568412,194.07857142857145,1.2335104389109908,236.67892120142744,20.03060615003818,2845.2048438867355,18.201880164039043,2851.287844375356,0.0556276533669459,0,1
